# z = 0
3.312585,1.333393,0.628355,0.328516,0.181827,0.103293,0.059320,0.034429,0.020506,0.012925,0.008946,0.006945,0.005985,0.005547,0.005358,0.005280,0.005250,0.005239,0.005235,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005234,0.005233,0.005233,0.005233,0.005232,0.005228,0.005217,0.005187,0.005109,0.004919,0.004481,0.003520,0.001517,-0.002469,-0.010063,-0.024013,-0.048958,-0.093033,-0.171759,-0.318800,-0.619286,-1.325539,-3.307153
4.270784,2.031104,1.056605,0.583383,0.332330,0.191436,0.110379,0.063757,0.037425,0.022999,0.015397,0.011564,0.009722,0.008882,0.008518,0.008368,0.008310,0.008289,0.008282,0.008279,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008278,0.008277,0.008275,0.008267,0.008246,0.008188,0.008039,0.007674,0.006833,0.004989,0.001151,-0.006463,-0.020914,-0.047298,-0.094022,-0.175273,-0.316529,-0.568239,-1.042641,-2.019274,-4.262930
4.594637,2.365272,1.310173,0.755302,0.442286,0.259000,0.150566,0.087059,0.050761,0.030720,0.020102,0.014730,0.012143,0.010959,0.010446,0.010236,0.010154,0.010124,0.010114,0.010111,0.010110,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010109,0.010108,0.010104,0.010094,0.010064,0.009982,0.009772,0.009258,0.008074,0.005483,0.000104,-0.010531,-0.030607,-0.066976,-0.130626,-0.239330,-0.423113,-0.737018,-1.293457,-2.351308,-4.585569
4.720189,2.525351,1.451676,0.862041,0.515746,0.306421,0.179687,0.104244,0.060638,0.036371,0.023444,0.016879,0.013710,0.012257,0.011627,0.011369,0.011268,0.011231,0.011219,0.011214,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011213,0.011212,0.011211,0.011207,0.011194,0.011157,0.011057,0.010798,0.010167,0.008713,0.005540,-0.001034,-0.013981,-0.038291,-0.081985,-0.157601,-0.284661,-0.494580,-0.841929,-1.433393,-2.510207,-4.710473
4.774088,2.603364,1.528317,0.924770,0.561624,0.337380,0.199297,0.116050,0.067485,0.040278,0.025715,0.018294,0.014702,0.013054,0.012339,0.012044,0.011930,0.011888,0.011874,0.011869,0.011868,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011867,0.011865,0.011861,0.011846,0.011804,0.011690,0.011396,0.010679,0.009030,0.005434,-0.001997,-0.016583,-0.043839,-0.092504,-0.175944,-0.314392,-0.539297,-0.903604,-1.509143,-2.587564,-4.764019
4.798751,2.641863,1.568955,0.960103,0.588745,0.356372,0.211666,0.123640,0.071935,0.042820,0.027178,0.019185,0.015309,0.013529,0.012755,0.012437,0.012314,0.012268,0.012253,0.012248,0.012246,0.012246,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012245,0.012243,0.012238,0.012222,0.012177,0.012054,0.011735,0.010961,0.009178,0.005298,-0.002706,-0.018373,-0.047540,-0.099352,-0.187585,-0.332682,-0.565757,-0.938342,-1.549285,-2.625701,-4.788490
4.810399,2.660897,1.590046,0.979270,0.604014,0.367394,0.219011,0.128226,0.074652,0.044377,0.028069,0.019719,0.015665,0.013801,0.012990,0.012657,0.012528,0.012480,0.012464,0.012459,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012457,0.012456,0.012456,0.012456,0.012456,0.012454,0.012449,0.012433,0.012385,0.012256,0.011922,0.011111,0.009245,0.005186,-0.003175,-0.019510,-0.049839,-0.103524,-0.194526,-0.343314,-0.580661,-0.957183,-1.570106,-2.644540,-4.800035
4.815944,2.670219,1.600724,0.989288,0.612227,0.373464,0.223135,0.130836,0.076213,0.045275,0.028581,0.020023,0.015864,0.013950,0.013118,0.012776,0.012643,0.012595,0.012578,0.012572,0.012571,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012570,0.012569,0.012568,0.012562,0.012545,0.012497,0.012364,0.012021,0.011188,0.009273,0.005109,-0.003461,-0.020182,-0.051176,-0.105912,-0.198433,-0.349175,-0.588680,-0.967029,-1.580642,-2.653760,-4.805527
4.818561,2.674701,1.605974,0.994331,0.616448,0.376642,0.225326,0.132239,0.077058,0.045763,0.028858,0.020186,0.015969,0.014029,0.013184,0.012837,0.012703,0.012653,0.012636,0.012631,0.012629,0.012629,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012628,0.012626,0.012621,0.012603,0.012554,0.012419,0.012072,0.011227,0.009284,0.005063,-0.003622,-0.020553,-0.051905,-0.107202,-0.200513,-0.352247,-0.592802,-0.971984,-1.585820,-2.658190,-4.808117
4.819771,2.676798,1.608471,0.996769,0.618523,0.378225,0.226431,0.132952,0.077490,0.046013,0.029000,0.020269,0.016022,0.014068,0.013217,0.012868,0.012732,0.012682,0.012665,0.012660,0.012658,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012657,0.012655,0.012649,0.012632,0.012582,0.012447,0.012097,0.011246,0.009289,0.005037,-0.003706,-0.020746,-0.052281,-0.107859,-0.201563,-0.353778,-0.594828,-0.974379,-1.588282,-2.660262,-4.809314
